"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA010120220805436679","펀북스","","G2","소매","G213","오락용품 소매","G21301","서점","G47611","서적, 신문 및 잡지류 소매업","51","강원특별자치도","51130","원주시","51130660","무실동","5113011500","무실동","5113011500117190000","1","대지",1719,,"강원특별자치도 원주시 무실동 1719","511303219019","강원특별자치도 원주시 만대로",55,,"4213011500117190000000001","유토피아주차빌딩","강원특별자치도 원주시 만대로 55","220150","26387","","","",127.92145770443,37.3402594205606
"MA010120220805437151","케이에스코스메틱","","G2","소매","G215","의약·화장품 소매","G21503","화장품 소매업","G47813","화장품, 비누 및 방향제 소매업","51","강원특별자치도","51110","춘천시","51110580","소양동","5111010200","요선동","5111010200100040009","1","대지",4,9,"강원특별자치도 춘천시 요선동 4-9","511103218033","강원특별자치도 춘천시 중앙로",16,,"4211010200100040009019488","","강원특별자치도 춘천시 중앙로 16","200030","24270","","4","",127.728736463144,37.883373221719
"MA010120220805437293","더리싸이클","","G2","소매","G222","중고 상품 소매","G22201","중고 상품 소매업","G47862","중고 가전제품 및 통신장비 소매업","51","강원특별자치도","51110","춘천시","51110390","동내면","5111039024","동내면","5111039024112180000","1","대지",1218,,"강원특별자치도 춘천시 동내면 사암리 1218","511104454152","강원특별자치도 춘천시 동내면 대룡산길",42,19,"4211039024112160001005097","","강원특별자치도 춘천시 동내면 대룡산길 42-19","200882","24408","","","",127.764435699292,37.8396959840178
"MA010120220805437125","카페아지","","I2","음식","I212","비알코올 ","I21201","카페","I56221","커피 전문점","51","강원특별자치도","51210","속초시","51210600","대포동","5121011100","도문동","5121011100107690002","1","대지",769,2,"강원특별자치도 속초시 도문동 769-2","512103223005","강원특별자치도 속초시 설악산로",263,6,"4221011100107690002000001","","강원특별자치도 속초시 설악산로 263-6","217100","24904","","","",128.578466211201,38.1634207457658
"MA010120220805439733","베스파유통","","G2","소매","G204","종합 소매","G20404","슈퍼마켓","G47129","기타 음ㆍ식료품 위주 종합 소매업","51","강원특별자치도","51130","원주시","51130660","무실동","5113011500","무실동","5113011500116440000","1","대지",1644,,"강원특별자치도 원주시 무실동 1644","511303219035","강원특별자치도 원주시 시청로",88,,"4213011500116440000001953","무실주공4단지아파트","강원특별자치도 원주시 시청로 88","220781","26388","","1","",127.926225488026,37.3350540531048
"MA010120220805440324","휠라스포츠","","G2","소매","G209","섬유·의복·신발 소매","G20905","기타 의류 소매업","G47419","기타 의복 소매업","51","강원특별자치도","51130","원주시","51130515","중앙동","5113010100","중앙동","5113010100101150001","1","대지",115,1,"강원특별자치도 원주시 중앙동 115-1","511303219043","강원특별자치도 원주시 원일로",96,,"4213010100101150001012342","","강원특별자치도 원주시 원일로 96","220904","26428","","","",127.949903923218,37.348979632236
"MA010120220805440384","오슈","","I2","음식","I212","비알코올 ","I21201","카페","I56221","커피 전문점","51","강원특별자치도","51720","홍천군","51720250","홍천읍","5172025029","홍천읍","5172025029102860004","1","대지",286,4,"강원특별자치도 홍천군 홍천읍 연봉리 286-4","517204475400","강원특별자치도 홍천군 홍천읍 송학로3길",21,,"4272025029102860004000001","","강원특별자치도 홍천군 홍천읍 송학로3길 21","250930","25140","","","",127.873714041892,37.684991739807
"MA010120220805440070","네일뉴스","","S2","수리·개인","S207","이용·미용","S20703","네일숍","S96119","기타 미용업","51","강원특별자치도","51130","원주시","51130590","단계동","5113011000","단계동","5113011000108280005","1","대지",828,5,"강원특별자치도 원주시 단계동 828-5","511304457081","강원특별자치도 원주시 금불1길",6,5,"4213011000108280005000001","","강원특별자치도 원주시 금불1길 6-5","220938","26423","","","",127.932883384962,37.3481692110468
"MA010120220805440217","하수구119","","N1","시설관리·임대","N102","청소·방제","N10202","산업설비, 운송장비 및 공공장소 청소업","N74212","산업설비, 운송장비 및 공공장소 청소업","51","강원특별자치도","51130","원주시","51130530","개운동","5113010500","개운동","5113010500103840052","1","대지",384,52,"강원특별자치도 원주시 개운동 384-52","511304457029","강원특별자치도 원주시 개봉길",16,,"4213010500103840052003693","","강원특별자치도 원주시 개봉길 16","220931","26443","","","",127.956194778844,37.3423949967093
"MA010120220805440275","숨은밥집","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","51","강원특별자치도","51770","정선군","51770250","정선읍","5177025021","정선읍","5177025021103450003","1","대지",345,3,"강원특별자치도 정선군 정선읍 봉양리 345-3","517703229019","강원특별자치도 정선군 정선읍 비봉로",54,1,"4277025021103450003009156","","강원특별자치도 정선군 정선읍 비봉로 54-1","233804","26130","","","",128.664285592426,37.3810604429715
